
=== NO_FIRST_REVIEWS ===
Aggregation weight: reviews (99% CI, bootstrap BCa)
Methods compared: 15
Common users in all method files: 1
Common reviews (from shared users): 178986

| Method                                     | RMSE         | MAE         | MAPE          |
| ------------------------------------------ | ------------ | ----------- | ------------- |
| POOR_MANS_FSRS                             | 9.38±0.00 s  | 5.41±0.00 s | 105.37%±0.00% |
| FSRS7_ONE_MINUS_R_S_REPS_D_LINEAR_BY_GRADE | 9.41±0.00 s  | 5.57±0.00 s | 112.73%±0.00% |
| FSRS7_R_GRADE_INTERACT                     | 9.42±0.00 s  | 5.67±0.00 s | 118.63%±0.00% |
| FSRS7_R_LINEAR_BY_GRADES                   | 9.42±0.00 s  | 5.67±0.00 s | 119.41%±0.00% |
| FSRS7_DSR_GRADE_NN                         | 9.54±0.00 s  | 4.69±0.00 s | 74.25%±0.00%  |
| GRADE_MEDIAN_4_4                           | 9.66±0.00 s  | 4.80±0.00 s | 84.14%±0.00%  |
| GRADE_MEDIAN_4                             | 9.66±0.00 s  | 4.78±0.00 s | 83.12%±0.00%  |
| GRADE_MEDIAN_8                             | 9.66±0.00 s  | 4.78±0.00 s | 83.12%±0.00%  |
| FSRS7_ONE_MINUS_R_S_REPS_D_RIDGE           | 9.68±0.00 s  | 5.84±0.00 s | 116.35%±0.00% |
| FSRS7_ONE_MINUS_R_S_REPS_D_LINEAR          | 9.68±0.00 s  | 5.84±0.00 s | 116.35%±0.00% |
| MOVING_AVG                                 | 9.69±0.00 s  | 4.89±0.00 s | 72.14%±0.00%  |
| FSRS7_R_RIDGE                              | 9.70±0.00 s  | 5.95±0.00 s | 123.97%±0.00% |
| FSRS7_R_LINEAR                             | 9.70±0.00 s  | 5.95±0.00 s | 123.94%±0.00% |
| CONST                                      | 10.03±0.00 s | 5.28±0.00 s | 97.28%±0.00%  |
| USER_MEDIAN                                | 10.20±0.00 s | 5.21±0.00 s | 87.16%±0.00%  |

Highlights:
- Best RMSE: POOR_MANS_FSRS (9.3820 s)
- Best MAE: FSRS7_DSR_GRADE_NN (4.6894 s)
- Best MAPE: MOVING_AVG (72.1448%)
- Overall: no single method is best on all three metrics.
Interpretation tip: 10s MAE means ~10s average absolute error; 10s RMSE is in seconds too but penalizes large misses more; MAPE is percentage (e.g., 10% means ~2s error when true time is 20s).

R-bucket precision (5% buckets):

Method: CONST (Within 2s uses |pred-true| <= 2.0s)
| R bucket  | Count | Mean true (s) | Mean pred (s) | RMSE (s) | MAE (s) | True ratio vs 0.85-0.90 | Pred ratio vs 0.85-0.90 | Ratio match (%) | Within 2s (%) |
| 0.60-0.65 | 5523  | 10.7652       | 13.8005       | 11.7047  | 8.7856  | 1.5180                  | 2.0356                  | 74.57           | 9.47          |
| 0.65-0.70 | 5592  | 10.3548       | 12.5747       | 11.2245  | 8.0113  | 1.4601                  | 1.8548                  | 78.72           | 10.93         |
| 0.70-0.75 | 7555  | 9.4949        | 11.2603       | 9.9987   | 6.8289  | 1.3389                  | 1.6610                  | 80.61           | 13.92         |
| 0.75-0.80 | 15982 | 8.7296        | 9.9428        | 9.2881   | 5.9855  | 1.2310                  | 1.4666                  | 83.93           | 17.22         |
| 0.80-0.85 | 44942 | 7.5640        | 8.2521        | 8.2237   | 4.8566  | 1.0666                  | 1.2172                  | 87.62           | 22.91         |
| 0.85-0.90 | 50304 | 7.0918        | 6.7794        | 8.9071   | 4.4955  | 1.0000                  | 1.0000                  | 100.00          | 31.45         |
| 0.90-0.95 | 19759 | 5.4457        | 5.4203        | 7.4114   | 3.4632  | 0.7679                  | 0.7995                  | 96.04           | 43.82         |
| 0.95-1.00 | 3452  | 2.8109        | 2.7827        | 3.5890   | 1.7700  | 0.3964                  | 0.4105                  | 96.56           | 73.61         |

Method: FSRS7_ONE_MINUS_R_S_REPS_D_LINEAR_BY_GRADE (Within 2s uses |pred-true| <= 2.0s)
| R bucket  | Count | Mean true (s) | Mean pred (s) | RMSE (s) | MAE (s) | True ratio vs 0.85-0.90 | Pred ratio vs 0.85-0.90 | Ratio match (%) | Within 2s (%) |
| --------- | ----- | ------------- | ------------- | -------- | ------- | ----------------------- | ----------------------- | --------------- | ------------- |
| 0.25-0.30 | 9     | 8.7818        | 22.7283       | 15.2648  | 13.9465 | 1.2383                  | 3.2580                  | 38.01           | 11.11         |
| 0.30-0.35 | 1296  | 15.8337       | 20.4902       | 14.5175  | 11.6763 | 2.2327                  | 2.9372                  | 76.01           | 8.41          |
| 0.35-0.40 | 8448  | 15.8267       | 19.0780       | 14.5130  | 11.3432 | 2.2317                  | 2.7348                  | 81.60           | 6.96          |
| 0.40-0.45 | 5508  | 14.7833       | 18.3393       | 14.1472  | 11.0604 | 2.0846                  | 2.6289                  | 79.29           | 7.04          |
| 0.45-0.50 | 2626  | 14.2600       | 17.3960       | 13.5255  | 10.3214 | 2.0108                  | 2.4937                  | 80.64           | 8.30          |
| 0.50-0.55 | 3402  | 12.3023       | 16.4309       | 12.2699  | 9.6407  | 1.7347                  | 2.3553                  | 73.65           | 7.38          |
| 0.55-0.60 | 4560  | 10.9587       | 14.7505       | 11.4568  | 8.8076  | 1.5453                  | 2.1144                  | 73.08           | 8.64          |
| 0.60-0.65 | 5523  | 10.7652       | 13.3812       | 11.2039  | 8.0733  | 1.5180                  | 1.9182                  | 79.14           | 10.90         |
| 0.65-0.70 | 5592  | 10.3548       | 12.1740       | 10.7985  | 7.4009  | 1.4601                  | 1.7451                  | 83.67           | 14.11         |
| 0.70-0.75 | 7555  | 9.4949        | 10.8804       | 9.7500   | 6.4362  | 1.3389                  | 1.5597                  | 85.84           | 16.41         |
| 0.75-0.80 | 15982 | 8.7296        | 9.8300        | 9.0852   | 5.7159  | 1.2310                  | 1.4091                  | 87.36           | 19.23         |
| 0.80-0.85 | 44942 | 7.5640        | 8.3998        | 7.9991   | 4.6460  | 1.0666                  | 1.2041                  | 88.58           | 26.49         |
| 0.85-0.90 | 50304 | 7.0918        | 6.9760        | 8.6091   | 4.2687  | 1.0000                  | 1.0000                  | 100.00          | 36.36         |
| 0.90-0.95 | 19759 | 5.4457        | 5.7487        | 7.2824   | 3.4710  | 0.7679                  | 0.8241                  | 93.18           | 44.69         |
| 0.95-1.00 | 3452  | 2.8109        | 3.0502        | 3.9753   | 2.0948  | 0.3964                  | 0.4372                  | 90.65           | 70.54         |

Method: FSRS7_ONE_MINUS_R_S_REPS_D_RIDGE (Within 2s uses |pred-true| <= 2.0s)
| R bucket  | Count | Mean true (s) | Mean pred (s) | RMSE (s) | MAE (s) | True ratio vs 0.85-0.90 | Pred ratio vs 0.85-0.90 | Ratio match (%) | Within 2s (%) |
| --------- | ----- | ------------- | ------------- | -------- | ------- | ----------------------- | ----------------------- | --------------- | ------------- |
| 0.25-0.30 | 9     | 8.7818        | 20.9751       | 13.6561  | 12.9802 | 1.2383                  | 3.0934                  | 40.03           | 0.00          |
| 0.30-0.35 | 1296  | 15.8337       | 19.9345       | 14.4400  | 11.6363 | 2.2327                  | 2.9399                  | 75.94           | 8.49          |
| 0.35-0.40 | 8448  | 15.8267       | 19.1323       | 14.8592  | 11.7916 | 2.2317                  | 2.8216                  | 79.09           | 7.21          |
| 0.40-0.45 | 5508  | 14.7833       | 18.2905       | 14.5077  | 11.4865 | 2.0846                  | 2.6975                  | 77.28           | 6.61          |
| 0.45-0.50 | 2626  | 14.2600       | 17.5527       | 13.9433  | 10.9071 | 2.0108                  | 2.5886                  | 77.68           | 7.01          |
| 0.50-0.55 | 3402  | 12.3023       | 16.6753       | 12.7442  | 10.1822 | 1.7347                  | 2.4592                  | 70.54           | 6.82          |
| 0.55-0.60 | 4560  | 10.9587       | 15.2875       | 12.0362  | 9.5721  | 1.5453                  | 2.2546                  | 68.54           | 7.15          |
| 0.60-0.65 | 5523  | 10.7652       | 13.7980       | 11.7041  | 8.7841  | 1.5180                  | 2.0349                  | 74.60           | 9.49          |
| 0.65-0.70 | 5592  | 10.3548       | 12.5732       | 11.2243  | 8.0105  | 1.4601                  | 1.8543                  | 78.74           | 10.94         |
| 0.70-0.75 | 7555  | 9.4949        | 11.2601       | 9.9988   | 6.8288  | 1.3389                  | 1.6606                  | 80.62           | 13.92         |
| 0.75-0.80 | 15982 | 8.7296        | 9.9435        | 9.2884   | 5.9861  | 1.2310                  | 1.4665                  | 83.94           | 17.21         |
| 0.80-0.85 | 44942 | 7.5640        | 8.2532        | 8.2239   | 4.8573  | 1.0666                  | 1.2172                  | 87.63           | 22.90         |
| 0.85-0.90 | 50304 | 7.0918        | 6.7806        | 8.9073   | 4.4962  | 1.0000                  | 1.0000                  | 100.00          | 31.43         |
| 0.90-0.95 | 19759 | 5.4457        | 5.4212        | 7.4115   | 3.4636  | 0.7679                  | 0.7995                  | 96.05           | 43.77         |
